Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Experiment_Type,Parameter_Setting
Logistic Regression,0.9360568383658969,0.9383259911894273,0.9815668202764977,0.9594594594594594,0.9602043367984854,Split,Train/Test Split = 70/30
SVM,0.9431616341030196,0.9527027027027027,0.9746543778801844,0.9635535307517085,0.9587039617047118,Split,Train/Test Split = 70/30
Decision Tree,0.9413854351687388,0.9695550351288056,0.9539170506912442,0.9616724738675958,0.9179884256778481,Split,Train/Test Split = 70/30
Random Forest,0.9253996447602132,0.9298245614035088,0.9769585253456221,0.952808988764045,0.9542653520522988,Split,Train/Test Split = 70/30
Logistic Regression,0.9386666666666666,0.9403973509933775,0.9826989619377162,0.961082910321489,0.9563048201496741,Split,Train/Test Split = 80/20
SVM,0.944,0.9527027027027027,0.9757785467128027,0.9641025641025641,0.9546149513156835,Split,Train/Test Split = 80/20
Decision Tree,0.9413333333333334,0.9717314487632509,0.9515570934256056,0.9615384615384616,0.9429870443389394,Split,Train/Test Split = 80/20
Random Forest,0.9253333333333333,0.9250814332247557,0.9826989619377162,0.9530201342281879,0.9502695743139937,Split,Train/Test Split = 80/20
Logistic Regression,0.9414893617021277,0.9407894736842105,0.9862068965517241,0.9629629629629629,0.9703287890938253,Split,Train/Test Split = 90/10
SVM,0.9361702127659575,0.9403973509933775,0.9793103448275862,0.9594594594594594,0.9651964715316761,Split,Train/Test Split = 90/10
Decision Tree,0.9468085106382979,0.972027972027972,0.9586206896551724,0.9652777777777778,0.9510024057738572,Split,Train/Test Split = 90/10
Random Forest,0.9148936170212766,0.910828025477707,0.9862068965517241,0.9470198675496688,0.9659983961507619,Split,Train/Test Split = 90/10
